date,amount,account_id,transaction_type,branch_code,description,counterparty_id
2025-10-01 09:04,771.49,SA-1018,تحويل داخلي,BRH-009,تحويل راتب,SA-2057
2025-10-01 14:35,1646.28,SA-1016,إيداع نقدي,BRH-006,إيداع ماكينة,CASH-DESK
2025-10-01 18:26,2647.4,SA-1027,سحب نقدي,BRH-009,سحب من الصراف الآلي,ATM-NETWORK
2025-10-01 18:57,49542.04,SA-1002,سحب نقدي,BRH-001,سحب عداد,ATM-NETWORK
2025-10-02 08:26,285087.85,SA-1030,تحويل داخلي,BRH-005,تحويل عميل,SA-2012
2025-10-02 11:33,3549.69,SA-1025,POS نقاط بيع,BRH-001,دفع إلكتروني,MER-1047
2025-10-02 14:41,3671.77,SA-1033,سحب نقدي,BRH-008,سحب من الصراف الآلي,ATM-NETWORK
2025-10-02 17:21,17576.93,SA-1037,سحب نقدي,BRH-005,سحب من الصراف الآلي,ATM-NETWORK
2025-10-02 18:58,2610.52,SA-1013,سحب نقدي,BRH-006,سحب عداد,ATM-NETWORK
2025-10-03 13:19,16905.84,SA-1022,حوالة دولية,BRH-006,دفع مورد خارجي,EXT-BANK-17
2025-10-03 14:33,2202.39,SA-1015,سحب نقدي,BRH-005,سحب من الصراف الآلي,ATM-NETWORK
2025-10-03 17:29,157787.74,SA-1009,إيداع نقدي,BRH-002,إيداع نقدي فرع,CASH-DESK
2025-10-03 17:32,29614.45,SA-1006,تحويل داخلي,BRH-009,سداد مديونية,SA-2125
2025-10-03 17:59,4454.44,SA-1003,تحويل داخلي,BRH-001,تحويل راتب,SA-2114
2025-10-03 18:30,43368.02,SA-1016,نظام سريع - SARIE,BRH-003,تسوية فورية,SA-3035
2025-10-04 13:50,4836.11,SA-1050,سحب نقدي,BRH-001,سحب من الصراف الآلي,ATM-NETWORK
2025-10-04 14:46,1726.64,SA-1026,نظام سريع - SARIE,BRH-003,تسوية فورية,SA-3026
2025-10-04 15:55,748.72,SA-1024,سحب نقدي,BRH-001,سحب من الصراف الآلي,ATM-NETWORK
