account_id,customer_type,occupation,residency,fatf_jurisdiction,pep,account_age_months
SA-1001,فرد,محاسب,سعودي,0,0,178
SA-1002,منشأة,تاجر تجزئة نقدي,مقيم,1,0,5
SA-1003,فرد,طبيب,سعودي,0,0,34
SA-1004,فرد,مهندس,سعودي,0,0,35
SA-1005,فرد,موظف حكومي,مقيم,0,0,43
SA-1006,فرد,مستشار إداري,سعودي,0,0,159
SA-1007,فرد,موظف حكومي,سعودي,0,0,23
SA-1008,فرد,محاسب,سعودي,0,0,119
SA-1009,فرد,مسؤول حكومي رفيع,سعودي,0,1,66
SA-1010,فرد,محامٍ,سعودي,0,0,38
SA-1011,فرد,طبيب,سعودي,0,0,36
SA-1012,فرد,مهندس,مقيم,0,0,27
SA-1013,فرد,أخصائي تقنية,مقيم,0,0,121
SA-1014,فرد,أخصائي تقنية,مقيم,0,0,128
SA-1015,فرد,طبيب,سعودي,0,0,74
SA-1016,منشأة,مطاعم ومقاهٍ,سعودي,0,0,14
SA-1017,فرد,مهندس,سعودي,0,0,143
SA-1018,فرد,صيدلي,سعودي,0,0,137
SA-1019,فرد,مهندس,مقيم,0,0,158
SA-1020,فرد,صيدلي,سعودي,0,0,101
SA-1021,فرد,مستشار إداري,مقيم,0,0,29
SA-1022,فرد,معلم,مقيم,0,0,28
SA-1023,منشأة,مطاعم ومقاهٍ,سعودي,0,0,25
SA-1024,فرد,موظف قطاع خاص,سعودي,0,0,17
SA-1025,فرد,صيدلي,سعودي,0,0,168
SA-1026,فرد,مسؤول حكومي رفيع,سعودي,0,1,51
SA-1027,فرد,معلم,سعودي,0,0,75
SA-1028,فرد,أخصائي تقنية,سعودي,0,0,54
SA-1029,فرد,محامٍ,سعودي,0,0,47
SA-1030,فرد,محامٍ,سعودي,0,0,118
SA-1031,فرد,موظف قطاع خاص,سعودي,0,0,50
SA-1032,منشأة,تجارة ذهب ومجوهرات,مقيم,1,0,11
SA-1033,منشأة,تجارة ذهب ومجوهرات,مقيم,1,0,4
SA-1034,فرد,مسؤول حكومي رفيع,سعودي,0,1,172
SA-1035,فرد,مستشار إداري,سعودي,0,0,44
SA-1036,فرد,محامٍ,مقيم,0,0,179
SA-1037,فرد,موظف حكومي,مقيم,0,0,155
SA-1038,فرد,موظف قطاع خاص,سعودي,0,0,38
SA-1039,فرد,موظف قطاع خاص,سعودي,0,0,60
SA-1040,منشأة,تجارة ذهب ومجوهرات,سعودي,0,0,7
SA-1041,فرد,موظف حكومي,سعودي,0,0,12
SA-1042,فرد,محامٍ,سعودي,0,0,105
SA-1043,فرد,مهندس,سعودي,0,0,169
SA-1044,فرد,معلم,سعودي,0,0,166
SA-1045,فرد,مهندس,سعودي,0,0,136
SA-1046,فرد,أخصائي تقنية,مقيم,0,0,135
SA-1047,فرد,محاسب,سعودي,0,0,99
SA-1048,فرد,أخصائي تقنية,سعودي,0,0,144
SA-1049,فرد,مطاعم ومقاهٍ,مقيم,1,0,21
SA-1050,فرد,معلم,سعودي,0,0,78
SA-9001,منشأة,تاجر تجزئة نقدي,سعودي,0,0,8
SA-9002,فرد,مستورد ومصدّر,غير مقيم,1,0,5
SA-9003,منشأة,تاجر جملة,سعودي,0,0,7
SA-9004,منشأة,تاجر جملة,سعودي,0,0,6
SA-9005,منشأة,تاجر جملة,سعودي,0,0,9
SA-9006,فرد,طالب,مقيم,0,0,2
SA-9010,فرد,عامل,مقيم,0,0,3
SA-9011,فرد,طالب,سعودي,0,0,4
SA-9012,فرد,سائق,مقيم,0,0,2
SA-9013,فرد,عامل,مقيم,0,0,3
SA-9014,فرد,طالب,سعودي,0,0,5
SA-9015,فرد,عامل,مقيم,0,0,2
